PolicyName	Path	Type
AccessAnalyzerServiceRolePolicy	/aws-service-role/	AWS managed
AdministratorAccess	/	Job function
AlexaForBusinessDeviceSetup	/	AWS managed
AlexaForBusinessFullAccess	/	AWS managed
AlexaForBusinessGatewayExecution	/	AWS managed
AlexaForBusinessNetworkProfileServicePolicy	/aws-service-role/	AWS managed
AlexaForBusinessPolyDelegatedAccessPolicy	/	AWS managed
AlexaForBusinessReadOnlyAccess	/	AWS managed
AmazonAPIGatewayAdministrator	/	AWS managed
AmazonAPIGatewayInvokeFullAccess	/	AWS managed
AmazonAPIGatewayPushToCloudWatchLogs	/service-role/	AWS managed
AmazonAppStreamFullAccess	/	AWS managed
AmazonAppStreamReadOnlyAccess	/	AWS managed
AmazonAppStreamServiceAccess	/service-role/	AWS managed
AmazonAthenaFullAccess	/	AWS managed
AmazonAugmentedAIFullAccess	/	AWS managed
AmazonAugmentedAIHumanLoopFullAccess	/	AWS managed
AmazonChimeFullAccess	/	AWS managed
AmazonChimeReadOnly	/	AWS managed
AmazonChimeSDK	/	AWS managed
AmazonChimeServiceRolePolicy	/aws-service-role/	AWS managed
AmazonChimeUserManagement	/	AWS managed
AmazonChimeVoiceConnectorServiceLinkedRolePolicy	/aws-service-role/	AWS managed
AmazonCloudDirectoryFullAccess	/	AWS managed
AmazonCloudDirectoryReadOnlyAccess	/	AWS managed
AmazonCodeGuruProfilerFullAccess	/	AWS managed
AmazonCodeGuruProfilerReadOnlyAccess	/	AWS managed
AmazonCodeGuruReviewerFullAccess	/	AWS managed
AmazonCodeGuruReviewerReadOnlyAccess	/	AWS managed
AmazonCodeGuruReviewerServiceRolePolicy	/aws-service-role/	AWS managed
AmazonCognitoDeveloperAuthenticatedIdentities	/	AWS managed
AmazonCognitoIdpEmailServiceRolePolicy	/aws-service-role/	AWS managed
AmazonCognitoPowerUser	/	AWS managed
AmazonCognitoReadOnly	/	AWS managed
AmazonConnectFullAccess	/	AWS managed
AmazonConnectReadOnlyAccess	/	AWS managed
AmazonConnectServiceLinkedRolePolicy	/aws-service-role/	AWS managed
AmazonDMSCloudWatchLogsRole	/service-role/	AWS managed
AmazonDMSRedshiftS3Role	/service-role/	AWS managed
AmazonDMSVPCManagementRole	/service-role/	AWS managed
AmazonDocDBConsoleFullAccess	/	AWS managed
AmazonDocDBFullAccess	/	AWS managed
AmazonDocDBReadOnlyAccess	/	AWS managed
AmazonDRSVPCManagement	/	AWS managed
AmazonDynamoDBFullAccess	/	AWS managed
AmazonDynamoDBFullAccesswithDataPipeline	/	AWS managed
AmazonDynamoDBReadOnlyAccess	/	AWS managed
AmazonEC2ContainerRegistryFullAccess	/	AWS managed
AmazonEC2ContainerRegistryPowerUser	/	AWS managed
AmazonEC2ContainerRegistryReadOnly	/	AWS managed
AmazonEC2ContainerServiceAutoscaleRole	/service-role/	AWS managed
AmazonEC2ContainerServiceEventsRole	/service-role/	AWS managed
AmazonEC2ContainerServiceforEC2Role	/service-role/	AWS managed
AmazonEC2ContainerServiceFullAccess	/	AWS managed
AmazonEC2ContainerServiceRole	/service-role/	AWS managed
AmazonEC2FullAccess	/	AWS managed
